,Name,Rating,No. of Reviews,Type of Company
246,Bajaj General Insurance Limited,3.7,3.5k,Insurance 
247,IndusInd Nippon Life Insurance,3.4,3.4k,Mumbai +494 other locations
248,ABB,4.0,3.4k,Industrial Machinery 
249,TVS Credit Services Ltd,4.2,3.4k,NBFC 
250,RSPL Group,4.0,3.4k,FMCG 
251,Ceat Tyres,3.9,3.4k,Auto Components 
252,AGS Health,3.9,3.4k,Analytics & KPO 
253,NatWest Group,3.9,3.4k,Banking 
254,Ford Motor,4.2,3.4k,Automobile 
255,HARMAN,3.8,3.4k,Consumer Electronics & Appliances 
256,Alstom Transportation,3.7,3.3k,Engineering & Construction 
257,Croma,3.8,3.3k,Retail 
258,Niva Bupa Health Insurance Company,4.0,3.3k,Insurance 
259,InterGlobe Aviation,3.4,3.3k,Aviation 
260,Conduent,3.4,3.3k,BPO 
261,Tata Technologies,3.4,3.3k,Automobile 
262,Tata AIG,4.0,3.3k,Insurance 
263,Indian Air Force,4.6,3.3k,Defence & Aerospace 
264,GeBBS Healthcare Solutions,3.8,3.3k,BPO 
265,Canara HSBC Life Insurance,4.1,3.3k,Insurance 
266,Sagility,3.9,3.3k,BPO 
267,Tata AutoComp Systems,3.7,3.3k,Auto Components 
268,UPL,4.1,3.2k,Agro Chemicals 
269,Jindal Stainless,4.1,3.2k,Iron & Steel 
270,PepsiCo,4.0,3.2k,Food Processing 
271,Max Healthcare,4.0,3.2k,Healthcare 
272,Allcargo Logistics,3.8,3.2k,Logistics 
273,Mankind Pharma,3.8,3.2k,Pharma 
274,Titan Company,4.2,3.2k,Retail 
275,Amazon Transportation Services,4.2,3.2k,Logistics 
276,Dilip Buildcon,3.9,3.2k,Engineering & Construction 
277,S&P Global,4.0,3.2k,Analytics & KPO 
278,Societe Generale Global Solution Centre,3.6,3.2k,IT Services & Consulting 
279,MSN Laboratories,3.6,3.2k,Pharma 
280,Walmart,3.5,3.2k,Retail 
281,Varroc Group,3.6,3.2k,Auto Components 
282,Quest Global,3.5,3.1k,IT Services & Consulting 
283,Marpu Foundation,4.9,3.1k,Non-Profit 
284,Afcons Infrastructure,4.2,3.1k,Engineering & Construction 
285,Ola Electric Mobility,3.3,3.1k,Automobile 
286,ESAF Small Finance Bank,3.6,3.1k,Banking 
287,Torrent Pharmaceuticals,4.0,3.1k,Pharma 
288,IDFC FIRST Bharat,4.2,3.1k,Financial Services 
289,DS Group,4.0,3.1k,FMCG 
290,Tata Electronics,3.8,3.1k,Semiconductors 
291,Tata Elxsi,3.4,3k,IT Services & Consulting 
292,HDFC Sales,3.9,3k,Financial Services 
293,Bharat Financial Inclusion,3.7,3k,Financial Services 
294,Square Yards,3.5,3k,Internet 
295,Zensar Technologies,3.7,3k,IT Services & Consulting 
296,Future Group,4.2,3k,Retail 
297,Suzlon Group,4.0,3k,Power 
298,CMS IT Services,3.1,3k,IT Services & Consulting 
299,Zepto,3.5,3k,Internet 
300,Indus Towers,3.6,3k,Telecom 
301,I Process Services,3.8,3k,Recruitment 
302,Fujitsu,3.8,3k,IT Services & Consulting 
303,ACC,3.9,3k,Building Material 
304,Eternal Limited,3.6,3k,Internet 
305,VVDN Technologies,3.6,3k,IT Services & Consulting 
306,IKS Health,3.6,3k,BPO 
307,Yazaki,3.9,2.9k,Auto Components 
